,city,lo,la
243,abazangzuqiangzuzizhizhou,101.72,31.93
311,akesudiqu,80.29,41.15
324,alashanmeng,105.735377,38.858276
312,aletaidiqu,88.14,47.86
373,alidiqu,80.11277700000002,32.506865999999995
266,ankang,109.02,32.7
299,anqing,117.03,30.52
139,anshan,122.85,41.12
190,anshun,105.92,26.25
142,anyang,114.35,36.1
265,baicheng,122.82,45.63
228,baise,106.62,23.91
359,baishan,126.42963,41.939627
362,baiyin,104.144451,36.550825
177,baoding,115.48,38.85
127,baoji,107.15,34.38
345,baoshan,99.177273,25.139039
133,baotou,110.0,40.58
323,bayannaoer,107.394398,40.75
379,bayinguolengzhou,86.151714,41.770287
237,bazhong,106.73,31.86
107,beihai,109.12,21.49
130,beijing,116.46,39.92
300,bengbu,117.34,32.93
123,benxi,123.73,41.3
191,bijie,105.29,27.32
120,binzhou,118.03,37.36
381,boertalamengguzizhizhou,82.07291500000002,44.912196
366,bozhou,115.784463,33.850643
151,cangzhou,116.83,38.33
85,changchun,125.35,43.88
176,changde,111.69,29.05
372,changdou,97.179584,31.147347
309,changjizhou,89.19,42.91
181,changsha,113.0,28.21
47,changshu,120.74,31.64
115,changzhou,119.95,31.79
25,chaozhou,116.63,23.68
22,chengde,117.93,40.97
101,chengdu,104.06,30.67
214,chenzhou,113.0,25.79
6,chifeng,118.87,42.28
365,chizhou,117.498421,30.670884
117,chongqing,106.54,29.59
233,chongzuo,107.37,22.42
244,chuxiongzhou,101.54,25.01
296,chuzhou,118.31,32.33
245,dalizhou,100.19,25.69
77,dalian,121.62,38.92
26,dandong,124.37,40.13
382,danzhou,109.587456,19.527146
187,daqing,125.03,46.58
102,datong,113.3,40.12
355,daxinganlingdiqu,123.64455900000002,52.510947
341,dazhou,107.474594,31.214308000000006
347,dehongzhou,98.595534,24.440925
145,deyang,104.37,31.13
165,dezhou,116.29,37.45
271,dingxi,104.57,35.57
349,diqingzhou,99.70953,27.825185
235,dongguan,113.75,23.04
110,dongying,118.49,37.46
1,eerduosi,109.781327,39.608266
331,enshizhou,109.494593,30.27794
332,ezhou,114.901607,30.396571999999995
338,fangchenggang,108.360419,21.693005
72,foshan,113.11,23.05
33,fushun,123.97,41.97
211,fuxin,121.65,42.0
298,fuyangshi,115.81,32.89
155,fuyang,119.95,30.07
193,fuzhoushi,116.34,28.0
30,fuzhou,119.3,26.08
278,gannanzhou,123.48,47.9
195,ganzhou,114.92,25.85
242,ganzizangzuzizhizhou,99.96,31.64
239,guangan,106.61,30.48
339,guangyuan,105.850423,32.441616
234,guangzhou,113.23,23.16
337,guigang,109.60552,23.117448
104,guilin,110.28,25.29
121,guiyang,106.71,26.57
356,guoluozangzuzizhizhou,100.251592,34.477194
253,guyuan,106.28,36.01
159,haerbin,126.63,45.75
353,haibeizangzuzizhizhou,100.907434,36.960663
351,haidongdiqu,102.110444,36.508511
73,haikou,110.35,20.02
0,haimen,121.15,31.89
352,hainanzangzuzizhizhou,110.355537,20.025802
350,haiximengguzuzangzuzizhizhou,97.376299,37.38275
310,hamidiqu,93.44,42.78
148,handan,114.47,36.6
137,hangzhou,120.19,30.26
267,hanzhong,108.04,33.07
284,hebi,114.17,35.9
226,hechi,108.06,24.7
185,hefei,117.27,31.86
257,hegang,130.3,47.33
256,heihe,127.53,50.22
132,hengshui,115.72,37.72
213,hengyang,112.61,26.89
313,hetiandiqu,79.94,37.12
48,heyuan,114.68,23.73
184,heze,115.480656,35.23375
336,hezhou,111.573526,24.409451
247,honghezhou,102.42,23.35
49,huaian,119.15,33.5
297,huaibei,116.77,33.97
216,huaihua,109.95,27.52
293,huainan,116.98,32.62
204,huanggang,114.87,30.44
354,huangnanzangzuzizhizhou,102.022428,35.525805
364,huangshan,118.171317,30.13925
203,huangshi,115.09,30.2
100,huhehaote,111.65,40.82
53,huizhou,114.4,23.09
46,huludao,120.836932,40.711052
326,hulunbeier,119.77237,49.218446
38,huzhou,120.1,30.86
259,jiamusi,130.35,46.83
196,jian,114.97,27.12
74,jiangmen,113.06,22.61
54,jiangyin,120.26,31.91
13,jiaonan,119.97,35.88
86,jiaozhou,120.03336000000002,36.264622
128,jiaozuo,113.21,35.24
84,jiaxing,120.76,30.77
57,jiayuguan,98.289152,39.77313
43,jieyang,116.35,23.55
95,jilin,126.57,43.87
32,jimo,120.45,36.38
144,jinan,117.0,36.65
9,jinchang,102.188043,38.520089
302,jincheng,112.83,35.52
198,jingdezhen,117.22,29.3
205,jingmen,112.19,31.02
167,jingzhou,112.239741,30.335165000000003
179,jinhua,119.64,29.12
166,jining,116.59,35.38
109,jintan,119.56,31.74
368,jinzhong,112.759595,37.692839
90,jinzhou,121.15,41.13
147,jiujiang,115.97,29.71
273,jiuquan,98.5,39.71
358,jixi,130.975619,45.300872
129,jurong,119.16,31.95
143,kaifeng,114.35,34.79
380,kashidiqu,75.996391,39.476097
124,kelamayi,84.77,45.59
374,kezileisukeerkezizizhizhou,76.174309,39.720471
141,kuerle,86.06,41.68
62,kunming,102.73,25.04
40,kunshan,120.95,31.39
231,laibin,109.24,23.76
175,laiwu,117.67,36.19
11,laixi,120.53,36.86
37,laizhou,119.942327,37.177017
183,langfang,116.7,39.53
150,lanzhou,103.73,36.03
15,lasa,91.11,29.97
340,leshan,103.772538,29.557941
343,liangshanzhou,103.851789,29.843846000000006
45,lianyungang,119.16,34.59
160,liaocheng,115.97,36.45
212,liaoyang,123.17,41.28
263,liaoyuan,125.15,42.97
248,lijiang,100.25,26.86
149,linan,119.72,30.23
344,lincang,100.103374,23.890197
78,linfen,111.5,36.08
277,linxiazhou,103.22,35.62
152,linyi,118.35,35.05
317,linzhidiqu,94.25,29.59
170,lishui,119.92,28.45
188,liupanshui,104.82,26.58
92,liuzhou,109.4,24.33
140,liyang,119.48,31.43
363,longnan,104.928575,33.406620000000004
221,longyan,117.01,25.12
215,loudi,111.96,27.71
295,luan,116.49,31.73
171,luoyang,112.44,34.7
97,luzhou,105.39,28.91
370,lvliang,111.15045,37.524498
126,maanshan,118.48,31.56
83,maoming,110.88,21.68
342,meishan,103.856563,30.082526
17,meizhou,116.1,24.55
134,mianyang,104.73,31.48
111,mudanjiang,129.58,44.6
91,nanchang,115.89,28.68
153,nanchong,106.110698,30.837793
119,nanjing,118.78,32.04
51,nanning,108.33,22.84
230,nanping,118.16,26.65
14,nantong,121.05,32.08
279,nanyang,112.53,33.01
316,naqu,92.1,31.47
238,neijiang,105.04,29.59
41,ningbo,121.56,29.86
225,ningde,119.52,26.65
348,nujiangzhou,98.863288,25.823707
64,panjin,122.070714,41.119997
20,panzhihua,101.718637,26.582347
55,penglai,120.75,37.8
163,pingdingshan,113.29,33.75
71,pingdu,119.97,36.77
275,pingliang,106.68,35.51
197,pingxiang,113.85,27.6
251,puer,101.03,23.07
219,putian,119.0,25.44
288,puyang,114.98,35.71
321,qiandongnanzhou,107.989446,26.589703000000004
320,qiannanzhou,107.528403,26.260616
322,qianxinanzhou,104.912492,25.093967000000006
7,qingdao,120.33,36.07
270,qingyang,107.88,36.03
60,qingyuan,113.01,23.7
172,qinhuangdao,119.57,39.95
227,qinzhou,108.61,21.96
4,qiqihaer,123.97,47.33
258,qitaihe,130.83,45.82
10,quanzhou,118.58,24.93
28,qujing,103.79,25.51
182,quzhou,118.88,28.97
315,rikaze,88.82,29.28
12,rizhao,119.46,35.42
44,rongcheng,122.41,37.16
8,rushan,121.52,36.89
89,sanmenxia,111.19,34.76
220,sanming,117.61,26.23
93,sanya,109.511909,18.252847
19,shanghai,121.48,31.22
360,shangluo,109.924418,33.878634000000005
286,shangqiu,115.65,34.44
194,shangrao,117.97,28.47
371,shannan,91.778675,29.243027
39,shantou,116.69,23.39
24,shanwei,115.375279,22.786211
56,shaoguan,113.62,24.84
113,shaoxing,120.58,30.01
218,shaoyang,111.5,27.22
81,shenyang,123.38,41.8
66,shenzhen,114.07,22.62
307,shihezi,85.94,44.27
174,shijiazhuang,114.48,38.03
206,shiyan,110.79,32.65
80,shizuishan,106.39,39.04
63,shouguang,118.73,36.86
261,shuangyashan,131.17,46.65
369,shuozhou,112.439371,39.337108
262,siping,124.37,43.17
357,songyuan,124.831482,45.147405
260,suihua,127.0,46.63
236,suining,105.58,30.52
330,suizhou,113.38945,31.696517
68,suqian,118.3,33.96
294,suzhou,116.97,33.63
82,suzhou,120.62,31.32
314,tachengdiqu,82.96,46.74
156,taian,117.13,36.18
27,taicang,121.1,31.45
59,taiyuan,112.53,37.87
118,taizhou,121.420757,28.656386
50,taizhoushi,119.9,32.49
162,tangshan,118.02,39.63
154,tianjin,117.2,39.13
276,tianshui,105.69,34.6
210,tieling,123.85,42.32
70,tongchuan,109.11,35.09
264,tonghua,125.92,41.49
202,tongliao,122.28,43.63
290,tongling,117.82,30.93
189,tongrendiqu,109.21,27.73
308,tulufandiqu,89.19,42.91
31,wafangdian,121.979603,39.627114
116,weifang,119.1,36.62
21,weihai,122.1,37.5
125,weinan,109.5,34.52
18,wendeng,122.05,37.2
249,wenshanzhou,104.24,23.37
146,wenzhou,120.65,28.01
201,wuhai,106.82,39.67
186,wuhan,114.31,30.52
161,wuhu,118.38,31.33
79,wujiang,120.63,31.16
376,wujiaqu,87.549937,44.172445
327,wulanchabu,113.139468,41.000748
135,wulumuqi,87.68,43.77
272,wuwei,102.61,37.94
122,wuxi,120.29,31.59
252,wuzhong,106.21,37.99
229,wuzhou,111.34,23.51
23,xiamen,118.1,24.46
108,xian,108.95,34.27
178,xiangtan,112.91,27.87
335,xiangxizhou,109.745577,28.317369
329,xiangyang,112.128537,32.014796999999994
207,xianning,114.28,29.87
69,xianyang,108.72,34.36
208,xiaogan,113.91,31.92
325,xilinguoleimeng,116.054391,43.939423
328,xinganmeng,122.04436499999998,46.088463
164,xingtai,114.48,37.05
98,xining,101.74,36.56
280,xinxiang,113.85,35.31
283,xinyang,114.08,32.13
199,xinyu,114.92,27.81
367,xinzhou,112.740624,38.422383
346,xishuangbannazhou,100.803447,22.013601
291,xuancheng,118.73,31.95
281,xuchang,113.81,34.02
131,xuzhou,117.2,34.26
241,yaan,102.97,29.97
58,yanan,109.47,36.6
361,yanbianzhou,129.499109,42.916871
5,yancheng,120.13,33.38
96,yangjiang,111.95,21.85
36,yangquan,113.57,37.85
114,yangzhou,119.42,32.39
29,yantai,121.39,37.52
99,yibin,104.56,29.77
168,yichang,111.3,30.7
200,yichun,114.38,27.81
255,yichunshi,128.92,47.73
375,yilihasakezhou,81.330538,43.922723
87,yinchuan,106.27,38.47
52,yingkou,122.18,40.65
192,yingtan,117.02,28.23
169,yiwu,120.06,29.32
106,yixing,119.82,31.36
223,yiyang,112.33,28.6
217,yongzhou,111.63,26.22
180,yueyang,113.09,29.37
268,yulinshi,109.77,38.3
224,yulin,110.14,22.64
301,yuncheng,110.97,35.03
16,yunfu,112.02,22.93
269,yushuzangzuzizhizhou,96.97,33.03
34,yuxi,102.52,24.35
136,zaozhuang,117.57,34.86
88,zhangjiagang,120.555821,31.875428000000007
105,zhangjiajie,110.479191,29.117096000000004
35,zhangjiakou,114.87,40.82
75,zhangqiu,117.53,36.72
274,zhangye,100.46,38.93
222,zhangzhou,117.35,24.52
42,zhanjiang,110.359377,21.270708
76,zhaoqing,112.44,23.05
246,zhaotong,103.7,29.32
2,zhaoyuan,120.38,37.35
158,zhengzhou,113.65,34.76
103,zhenjiang,119.44,32.2
61,zhongshan,113.38,22.52
254,zhongwei,105.18,37.51
285,zhoukou,114.63,33.63
3,zhoushan,122.207216,29.985295
67,zhuhai,113.52,22.3
157,zhuji,120.23,29.71
282,zhumadian,114.02,32.98
173,zhuzhou,113.16,27.83
138,zibo,118.05,36.78
94,zigong,104.778442,29.33903
240,ziyang,104.6,30.19
112,zunyi,106.9,27.7
